title,genre,,,,,,
Vadh,"Drama, Thriller            ",,,,,,
Jai Bhim,"Crime, Drama, Mystery            ",,,,,,
Fright Night,"Comedy, Horror            ",,,,,,
Cheppalani Undhi,"Action, Comedy, Drama            ",,,,,,
Runway 34,"Drama, Thriller            ",,,,,,
Delhi Crime,"Crime, Drama            ",,,,,,
Sultan,"Action, Drama, Sport            ",,,,,,
Jamtara: Sabka Number Ayega,Crime            ,,,,,,
Gold,"Comedy, Drama, Thriller            ",,,,,,
Paatal Lok,"Crime, Drama, Thriller            ",,,,,,
Sardar,"Action, Drama            ",,,,,,
Tadka,"Comedy, Drama, Romance            ",,,,,,
Hostel Daze,"Comedy, Drama            ",,,,,,
Saudi Vellakka,Drama            ,,,,,,
Dobaaraa,"Drama, Fantasy, Mystery            ",,,,,,
Shooter,Action            ,,,,,,
PK,"Comedy, Drama, Sci-Fi            ",,,,,,
The House with a Clock in Its Walls,"Comedy, Family, Fantasy            ",,,,,,
Criminal Justice: Adhura Sach,"Crime, Drama, Mystery            ",,,,,,
Bulbbul,"Drama, Horror, Mystery            ",,,,,,
Baahubali 2: The Conclusion,"Action, Drama            ",,,,,,
Gatta Kusthi,Comedy            ,,,,,,
Andhadhun,"Comedy, Crime, Music            ",,,,,,
Shut In,"Drama, Horror, Mystery            ",,,,,,
Uri: The Surgical Strike,"Action, Drama, History            ",,,,,,
Miral,Drama            ,,,,,,
Lekh,"Drama, Romance            ",,,,,,
The Kashmir Files,Drama            ,,,,,,
A Dog's Journey,"Adventure, Comedy, Drama            ",,,,,,
Special OPS,"Action, Crime, Thriller            ",,,,,,
The Light Between Oceans,"Drama, Romance            ",,,,,,
Dangerous,"Action, Romance, Thriller            ",,,,,,
Mili,"Drama, Thriller            ",,,,,,
The White Tiger,"Crime, Drama            ",,,,,,
Gangs of Wasseypur,"Action, Comedy, Crime            ",,,,,,
Kaithi,"Action, Adventure, Crime            ",,,,,,
Gullak,"Comedy, Drama, Family            ",,,,,,
Apharan,"Action, Crime, Thriller            ",,,,,,
Snowman,"Action, Drama            ",,,,,,
Suzhal - The Vortex,"Crime, Drama, Thriller            ",,,,,,
TVF Tripling,"Comedy, Drama            ",,,,,,
Dhoom:2,"Action, Crime, Thriller            ",,,,,,
K.G.F: Chapter 1,"Action, Crime, Drama            ",,,,,,
Chhichhore,"Comedy, Drama, Romance            ",,,,,,
Faadu,null,,,,,,
Dangal,"Action, Biography, Drama            ",,,,,,
VR (Vikrant Rona),"Action, Crime, Drama            ",,,,,,
Sir,"Drama, Romance            ",,,,,,
All That Breathes,Documentary            ,,,,,,
Jawan,"Action, Drama, Thriller            ",,,,,,
The Teacher,"Drama, Thriller            ",,,,,,
Laila Majnu,"Drama, Romance            ",,,,,,
Mastram,"Comedy, Fantasy            ",,,,,,
The Man Who Knew Infinity,"Biography, Drama            ",,,,,,
ImMATURE,"Comedy, Drama, Romance            ",,,,,,
Ginna,"Action, Comedy, Drama            ",,,,,,
Hush Hush,Drama            ,,,,,,
Darlings,"Comedy, Drama, Thriller            ",,,,,,
The Reluctant Fundamentalist,"Drama, Thriller            ",,,,,,
Zindagi Na Milegi Dobara,"Comedy, Drama, Musical            ",,,,,,
Taare Zameen Par,"Drama, Family            ",,,,,,
Jug Jugg Jeeyo,"Comedy, Drama, Family            ",,,,,,
Naagin,"Drama, Fantasy, Mystery            ",,,,,,
Kabhi Khushi Kabhie Gham...,"Drama, Musical, Romance            ",,,,,,
Dilwale,"Action, Comedy, Drama            ",,,,,,
She,"Crime, Drama            ",,,,,,
Delivery Man,"Comedy, Drama            ",,,,,,
Dsp,Action            ,,,,,,
Om Shanti Om,"Action, Comedy, Drama            ",,,,,,
Maharani,Drama            ,,,,,,
Shiddat,Romance            ,,,,,,
Shamshera,"Action, Adventure, Drama            ",,,,,,
Kal Ho Naa Ho,"Comedy, Drama, Musical            ",,,,,,
Kuch Kuch Hota Hai,"Comedy, Drama, Musical            ",,,,,,
Shershaah,"Action, Biography, Drama            ",,,,,,
Gadar: Ek Prem Katha,"Action, Drama, Romance            ",,,,,,
A Wednesday,"Action, Crime, Drama            ",,,,,,
Mimi,"Comedy, Drama            ",,,,,,
My Name Is Khan,"Adventure, Drama, Romance            ",,,,,,
Haseen Dillruba,"Crime, Drama, Mystery            ",,,,,,
Thiruchitrambalam,"Comedy, Drama, Musical            ",,,,,,
Bigg Boss,Reality-TV            ,,,,,,
Badhaai Do,"Comedy, Crime, Drama            ",,,,,,
Cuttputlli,"Crime, Drama, Mystery            ",,,,,,
Smile,Drama            ,,,,,,
Raees,"Action, Crime, Drama            ",,,,,,
Stree,"Comedy, Horror            ",,,,,,
Dear Zindagi,"Drama, Romance            ",,,,,,
Bimbisara,"Action, Drama, Fantasy            ",,,,,,
Batti Gul Meter Chalu,Drama            ,,,,,,
Khuda Haafiz Chapter II: Agni Pariksha,"Action, Crime, Drama            ",,,,,,
Har Har Mahadev,"Action, Drama, War            ",,,,,,
Moving in with Malaika,Reality-TV            ,,,,,,
Come Play,"Drama, Horror, Mystery            ",,,,,,
Naai Sekar Returns,Comedy            ,,,,,,
Pather Panchali,Drama            ,,,,,,
House of Secrets: The Burari Deaths,"Documentary, Crime, History            ",,,,,,
Comali,Comedy            ,,,,,,
"Swades: We, the People","Drama, Musical            ",,,,,,
Bullet to the Head,"Action, Crime, Thriller            ",,,,,,
Aspirants,Drama            ,,,,,,
Jersey,"Drama, Sport            ",,,,,,
Special Ops 1.5: The Himmat Story,"Action, Crime, Drama            ",,,,,,
Sardar Udham,"Biography, Crime, Drama            ",,,,,,
Lagaan: Once Upon a Time in India,"Drama, Musical, Sport            ",,,,,,
Mom,"Crime, Drama, Thriller            ",,,,,,
Devdas,"Drama, Musical, Romance            ",,,,,,
Garuda Gamana Vrishabha Vahana,"Crime, Drama, Thriller            ",,,,,,
NCR Days,Drama            ,,,,,,
Mismatch,Comedy            ,,,,,,
Lust Stories,"Drama, Romance            ",,,,,,
Lucifer,"Action, Crime, Drama            ",,,,,,
Bride & Prejudice,"Comedy, Drama, Musical            ",,,,,,
Anek,"Action, Drama, Sport            ",,,,,,
Ek Villain Returns,"Action, Crime, Romance            ",,,,,,
Yeh Kaali Kaali Ankhein,"Comedy, Crime, Mystery            ",,,,,,
Bajirao Mastani,"Action, Drama, History            ",,,,,,
Dilwale Dulhania Le Jayenge,"Drama, Romance            ",,,,,,
Zero,"Comedy, Drama, Romance            ",,,,,,
Sonu Ke Titu Ki Sweety,"Comedy, Romance            ",,,,,,
Maja Ma,"Comedy, Drama            ",,,,,,
Jogi,"Drama, Thriller            ",,,,,,
Pratikshya,Drama            ,,,,,,
Tanhaji: The Unsung Warrior,"Action, Biography, Drama            ",,,,,,
Vanity Fair,Drama            ,,,,,,
Gully Boy,"Drama, Music, Romance            ",,,,,,
Indian Predator: Murder in a Courtroom,"Documentary, Crime            ",,,,,,
Ludo,"Action, Comedy, Crime            ",,,,,,
Vijayanand,Biography            ,,,,,,
Climax,"Action, Horror, Thriller            ",,,,,,
Aarya,"Crime, Drama, Thriller            ",,,,,,
Broken But Beautiful,"Drama, Romance            ",,,,,,
Mulshi Pattern,"Crime, Drama            ",,,,,,
Saving Santa,"Animation, Adventure, Comedy            ",,,,,,
Antim: The Final Truth,"Action, Crime, Drama            ",,,,,,
Paranoia,"Drama, Thriller            ",,,,,,
Don 2,"Action, Crime, Thriller            ",,,,,,
Ranga Ranga Vaibhavanga,"Comedy, Drama, Romance            ",,,,,,
Bigg Boss Telugu,Reality-TV            ,,,,,,
Padmaavat,"Drama, History, Romance            ",,,,,,
Tamasha,"Comedy, Drama, Romance            ",,,,,,
Bhool Bhulaiyaa 2,"Comedy, Drama, Horror            ",,,,,,
Kabhi Alvida Naa Kehna,"Drama, Romance            ",,,,,,
Honeymoon,"Comedy, Drama            ",,,,,,
Badla,"Crime, Drama, Mystery            ",,,,,,
Prince,"Action, Drama, Romance            ",,,,,,
Dhamaka,"Crime, Drama, Thriller            ",,,,,,
Urvasivo Rakshasivo,"Drama, Romance            ",,,,,,
Hacked,Thriller            ,,,,,,
Meru,"Documentary, Sport            ",,,,,,
Gandii Baat,"Crime, Drama, Thriller            ",,,,,,
Vikram Vedha,"Action, Crime, Drama            ",,,,,,
Fighter,"Action, Thriller            ",,,,,,
The Fifth Estate,"Biography, Crime, Drama            ",,,,,,
Roy,Thriller            ,,,,,,
Ghajini,"Action, Drama, Mystery            ",,,,,,
Thar,"Action, Crime, Drama            ",,,,,,
Criminal Justice,"Crime, Drama, Mystery            ",,,,,,
Kaagaz Ke Phool,Romance            ,,,,,,
Rockstar,"Drama, Music, Romance            ",,,,,,
The Second Best Exotic Marigold Hotel,"Comedy, Drama, Romance            ",,,,,,
Never Kiss Your Best Friend,Romance            ,,,,,,
Dil Bechara,"Comedy, Drama, Romance            ",,,,,,
Atrangi Re,"Comedy, Drama, Fantasy            ",,,,,,
Dil Se..,"Drama, Romance            ",,,,,,
Sanju,"Biography, Comedy, Drama            ",,,,,,
M.S. Dhoni: The Untold Story,"Biography, Drama, Sport            ",,,,,,
Bard of Blood,"Action, Adventure, Drama            ",,,,,,
Inside Edge,"Drama, Sport            ",,,,,,
Raazi,"Action, Drama, Thriller            ",,,,,,
A Thursday,"Drama, Thriller            ",,,,,,
Govinda Naam Mera,"Comedy, Drama, Romance            ",,,,,,
Masooda,"Horror, Thriller            ",,,,,,
The Namesake,Drama            ,,,,,,
Varisu,"Action, Drama            ",,,,,,
83,"Biography, Drama, History            ",,,,,,
The Lunchbox,"Drama, Romance            ",,,,,,
Chandni Chowk to China,"Action, Adventure, Comedy            ",,,,,,
A Suitable Boy,"Drama, Romance            ",,,,,,
Aranyak,"Crime, Drama, Mystery            ",,,,,,
Ae Dil Hai Mushkil,"Drama, Music, Musical            ",,,,,,
Veer-Zaara,"Drama, Family, Musical            ",,,,,,
People Like Us,"Comedy, Drama            ",,,,,,
Maa Da Ladla,"Comedy, Drama            ",,,,,,
Macherla Niyojakavargam,"Action, Comedy, Drama            ",,,,,,
The Ghost,"Action, Thriller            ",,,,,,
Faadu - A Love Story,Romance            ,,,,,,
Aashram,"Crime, Drama, Mystery            ",,,,,,
Article 15,"Crime, Drama, Mystery            ",,,,,,
Bhaukaal,"Action, Crime            ",,,,,,
Kaisi Yeh Yaariyan,Drama            ,,,,,,
Maharshi,"Action, Drama            ",,,,,,
Human,"Drama, Thriller            ",,,,,,
Karm Yuddh,Drama            ,,,,,,
Dahan: Raakan Ka Rahasya,Thriller            ,,,,,,
#69 Samskar Colony,Romance            ,,,,,,
Street Fighter: The Legend of Chun-Li,"Action, Adventure, Crime            ",,,,,,
Rangasthalam,"Action, Drama            ",,,,,,
Little Things,"Comedy, Romance            ",,,,,,
Sooryavanshi,"Action, Crime, Thriller            ",,,,,,
Heropanti 2,"Action, Comedy, Crime            ",,,,,,
Annaatthe,"Action, Comedy, Drama            ",,,,,,
Jawaani Jaaneman,"Comedy, Drama            ",,,,,,
Padman,"Biography, Comedy, Drama            ",,,,,,
Chandigarh Kare Aashiqui,"Comedy, Crime, Drama            ",,,,,,
Guilty Minds,Drama            ,,,,,,
Ghoul,"Drama, Fantasy, Horror            ",,,,,,
Alpha and Omega,"Animation, Adventure, Comedy            ",,,,,,
Campus Diaries,"Comedy, Drama, Romance            ",,,,,,
Ammu,Drama            ,,,,,,
Talvar,"Crime, Drama, Mystery            ",,,,,,
Munna Bhai M.B.B.S.,"Comedy, Drama            ",,,,,,
Thank You for Your Service,"Biography, Drama, War            ",,,,,,
Aashiqana,"Romance, Thriller            ",,,,,,
Plan A Plan B,"Comedy, Romance            ",,,,,,
Jab We Met,"Comedy, Drama, Romance            ",,,,,,
Rathasaatchi,Thriller            ,,,,,,
Rab Ne Bana Di Jodi,"Comedy, Drama, Music            ",,,,,,
Chennai Express,"Action, Comedy, Drama            ",,,,,,
Ghost Stories,"Horror, Thriller            ",,,,,,
Main Hoon Na,"Action, Comedy, Drama            ",,,,,,
Soorarai Pottru,Drama            ,,,,,,
Made in Heaven,"Drama, Romance            ",,,,,,
Kahaani Ghar Ghar Kii,Drama            ,,,,,,
Ratsasan,"Crime, Drama, Mystery            ",,,,,,
Dunki,"Comedy, Drama            ",,,,,,
Asur: Welcome to Your Dark Side,"Crime, Drama, Mystery            ",,,,,,
Pink,"Crime, Drama, Thriller            ",,,,,,
Charmsukh,Short            ,,,,,,
Jhund,"Biography, Drama, Sport            ",,,,,,
Mumbai Diaries 26/11,"Drama, Thriller            ",,,,,,
Mard Ko Dard Nahin Hota,"Action, Comedy            ",,,,,,
Pushpa: The Rule - Part 2,"Action, Crime, Drama            ",,,,,,
Dil Chahta Hai,"Comedy, Drama, Romance            ",,,,,,
Sadak,"Action, Drama, Romance            ",,,,,,
Queen,"Adventure, Comedy, Drama            ",,,,,,
Kisi Ka Bhai Kisi Ki Jaan,"Action, Comedy, Drama            ",,,,,,
Raid,"Action, Crime, Drama            ",,,,,,
Jana Gana Mana,"Crime, Drama            ",,,,,,
Ishqbaaaz,"Drama, Family, Romance            ",,,,,,
Sixer,"Drama, Sport            ",,,,,,
Undekhi,Crime            ,,,,,,
Chathuram,Drama            ,,,,,,
Paglet,Comedy            ,,,,,,
Baba,"Action, Drama, Fantasy            ",,,,,,
The Good Lie,"Biography, Drama            ",,,,,,
Kirik Party,"Comedy, Drama            ",,,,,,
365 Days,"Drama, Romance            ",,,,,,
MTV Splitsvilla,"Reality-TV, Romance            ",,,,,,
Meet Cute,Drama            ,,,,,,
Beast,"Action, Comedy, Thriller            ",,,,,,
Ala Vaikunthapurramuloo,"Action, Comedy, Drama            ",,,,,,
Kochaal,"Comedy, Drama, Thriller            ",,,,,,
Mardaani 2,"Action, Crime, Drama            ",,,,,,
Mohabbatein,"Musical, Drama, Romance            ",,,,,,
War,"Action, Adventure, Thriller            ",,,,,,
Tiger Zinda Hai,"Action, Adventure, Thriller            ",,,,,,
Naane Varuvean,"Action, Horror, Thriller            ",,,,,,
Shehzada,"Action, Comedy, Drama            ",,,,,,
Bajrangi Bhaijaan,"Action, Adventure, Comedy            ",,,,,,
Indori Ishq,"Comedy, Drama, Romance            ",,,,,,
Palang Tod,Drama            ,,,,,,
Rang De Basanti,"Comedy, Crime, Drama            ",,,,,,
Rocket Boys,"Drama, History            ",,,,,,
Sahebs Who Never Left - Part 1: The Origins,"Documentary, Short            ",,,,,,
Kalank,"Drama, Romance            ",,,,,,
Dasvi,"Comedy, Drama            ",,,,,,
Barfi!,"Comedy, Drama, Romance            ",,,,,,
Duranga,"Crime, Drama, Thriller            ",,,,,,
Project K,Sci-Fi            ,,,,,,
Aamis,"Drama, Fantasy, Horror            ",,,,,,
Talaash,"Crime, Drama, Mystery            ",,,,,,
Secret of the Wings,"Animation, Family, Fantasy            ",,,,,,
Chak De! India,"Drama, Family, Sport            ",,,,,,
12th Man,"Drama, Mystery, Thriller            ",,,,,,
Jayeshbhai Jordaar,"Comedy, Drama            ",,,,,,
Norm of the North,"Animation, Adventure, Comedy            ",,,,,,
Badlapur,"Action, Crime, Drama            ",,,,,,
English Vinglish,"Comedy, Drama, Family            ",,,,,,
Kana Kaanum Kaalangal,Drama            ,,,,,,
The Girl on the Train,"Crime, Drama, Mystery            ",,,,,,
Thunivu,"Action, Adventure, Thriller            ",,,,,,
Good Luck Jerry,"Comedy, Crime, Drama            ",,,,,,
Shaadi Mein Zaroor Aana,"Drama, Romance            ",,,,,,
Dil Diyan Gallan,"Drama, Romance            ",,,,,,
Ved,"Drama, Romance            ",,,,,,
Master,"Action, Thriller            ",,,,,,
X-Ray: Selected Satyajit Shorts,"Crime, Drama, Thriller            ",,,,,,
Raat Akeli Hai,"Crime, Drama, Mystery            ",,,,,,
Eega,"Action, Comedy, Drama            ",,,,,,
Srikanto,Drama            ,,,,,,
Bahu Hamari Rajni Kant,Comedy            ,,,,,,
Moh,Romance            ,,,,,,
Roohi,"Comedy, Horror            ",,,,,,
Pettaikaali,Action            ,,,,,,
Masaan,Drama            ,,,,,,
Anbe Sivam,"Adventure, Comedy, Drama            ",,,,,,
October,"Drama, Romance            ",,,,,,
Your Honor,"Action, Drama, Thriller            ",,,,,,
Jab Harry Met Sejal,"Comedy, Drama, Romance            ",,,,,,
Gehraiyaan,"Drama, Romance            ",,,,,,
Marjaney,Action            ,,,,,,
Love Games,"Crime, Thriller            ",,,,,,
Babli Bouncer,"Comedy, Drama            ",,,,,,
Fanaa,"Action, Drama, Romance            ",,,,,,
Vendhu Thanindhathu Kaadu,"Action, Crime, Drama            ",,,,,,
Drishyam,"Crime, Drama, Thriller            ",,,,,,
Fan,"Action, Drama, Thriller            ",,,,,,
Haider,"Action, Crime, Drama            ",,,,,,
Bellbottom,"Action, Thriller            ",,,,,,
Bigg Boss Tamil,Reality-TV            ,,,,,,
The Congress,"Animation, Drama, Sci-Fi            ",,,,,,
Cobalt Blue,"Drama, Romance            ",,,,,,
Witness,Drama            ,,,,,,
Yeh Jawaani Hai Deewani,"Drama, Musical, Romance            ",,,,,,
24,"Action, Adventure, Crime            ",,,,,,
Mahabharat,"Drama, History, War            ",,,,,,
Dhoom,"Action, Crime, Drama            ",,,,,,
Hera Pheri,"Action, Comedy, Crime            ",,,,,,
Radhe,"Action, Crime, Thriller            ",,,,,,
Jodhaa Akbar,"Action, Drama, History            ",,,,,,
Kesari,"Action, Drama, History            ",,,,,,
Rangbaaz: Darr Ki Rajneeti,Action            ,,,,,,
Dharani Mandala Madhyadolage,Drama            ,,,,,,
Dhindora,"Comedy, Drama            ",,,,,,
De De Pyaar De,"Comedy, Drama, Romance            ",,,,,,
Radhe Shyam,"Drama, Romance            ",,,,,,
Rangbaaz,"Action, Biography, Crime            ",,,,,,
Modern Love: Mumbai,"Comedy, Romance            ",,,,,,
The River,"Drama, Romance            ",,,,,,
Asoka,"Action, Biography, Drama            ",,,,,,
Eiga Doraemon: Nobita no getsumen tansaki,"Animation, Action, Adventure            ",,,,,,
Tabbar,"Drama, Thriller            ",,,,,,
Gaalodu,Drama            ,,,,,,
Ittefaq,"Crime, Mystery, Thriller            ",,,,,,
Decoupled,"Comedy, Drama            ",,,,,,
Monsoon Wedding,"Comedy, Drama, Romance            ",,,,,,
Indian Predator: The Butcher of Delhi,"Documentary, Crime, History            ",,,,,,
Gali Guleiyan,"Drama, Thriller            ",,,,,,
Super Deluxe,"Comedy, Crime, Drama            ",,,,,,
Jaadugar,"Comedy, Drama, Fantasy            ",,,,,,
Baazigar,"Crime, Drama, Musical            ",,,,,,
Dhoom:3,"Action, Crime, Drama            ",,,,,,
Jab Tak Hai Jaan,"Drama, Romance            ",,,,,,
Adipurush,"Action, Adventure, Drama            ",,,,,,
Rudra: The Edge of Darkness,"Crime, Drama, Mystery            ",,,,,,
Sholay,"Action, Adventure, Comedy            ",,,,,,
Bharat,"Action, Comedy, Drama            ",,,,,,
The Good Wife,"Crime, Drama, Mystery            ",,,,,,
Avrodh: The Siege Within,Action            ,,,,,,
Breathe,"Crime, Drama, Thriller            ",,,,,,
Tiger 3,"Action, Drama, Thriller            ",,,,,,
Drushyam 2,"Drama, Thriller            ",,,,,,
Gong fu yu jia,"Action, Adventure, Comedy            ",,,,,,
Country Mafia,Crime            ,,,,,,
Mel Karade Rabba,"Comedy, Drama, Romance            ",,,,,,
Trapped,"Drama, Thriller            ",,,,,,
U Turn,"Crime, Mystery, Thriller            ",,,,,,
Badhaai ho,"Comedy, Drama            ",,,,,,
Tehran,"Action, Thriller            ",,,,,,
Sarsenapati Hambirrao,"Action, Drama, History            ",,,,,,
Kavita Bhabhi,Drama            ,,,,,,
Bhabi Ji Ghar Par Hai,Comedy            ,,,,,,
Bholaa,"Action, Drama, Thriller            ",,,,,,
Rustom,"Crime, Drama, Thriller            ",,,,,,
Ela Veezha Poonchira,"Crime, Mystery, Thriller            ",,,,,,
Bhoot Police,"Comedy, Horror            ",,,,,,
Tadap,"Action, Drama, Romance            ",,,,,,
DJ Tillu,"Action, Comedy, Crime            ",,,,,,
Kalyug,"Action, Crime, Drama            ",,,,,,
Don,"Action, Crime, Thriller            ",,,,,,
Mersal,"Action, Thriller            ",,,,,,
Andaz Apna Apna,"Action, Comedy, Romance            ",,,,,,
Shahid,"Biography, Drama            ",,,,,,
Maya Bazaar,"Comedy, Drama            ",,,,,,
Dil Dhadakne Do,"Comedy, Drama, Romance            ",,,,,,
Delhi Belly,"Action, Comedy, Crime            ",,,,,,
Crazy Fellow,Thriller            ,,,,,,
Viceroy's House,"Biography, Drama, History            ",,,,,,
Muqabla,"Action, Crime, Drama            ",,,,,,
Section 375,"Crime, Drama, Mystery            ",,,,,,
Double XL,"Comedy, Drama            ",,,,,,
Chhorii,"Drama, Horror, Thriller            ",,,,,,
The Great Weddings of Munnes,"Comedy, Drama            ",,,,,,
Jaya Jaya Jaya Jaya Hey,Comedy            ,,,,,,
Jannat: In Search of Heaven...,"Crime, Drama, Romance            ",,,,,,
Appan,"Comedy, Crime, Drama            ",,,,,,
Thalapathy 67,"Action, Crime, Thriller            ",,,,,,
Nath Zewar Ya Zanjeer,Drama            ,,,,,,
Darr,"Action, Drama, Romance            ",,,,,,
Hindi Medium,"Comedy, Drama            ",,,,,,
Hridayam,"Drama, Musical, Romance            ",,,,,,
Walking with Dinosaurs 3D,"Animation, Adventure, Comedy            ",,,,,,
The Other Side of the Door,"Horror, Thriller            ",,,,,,
Bheeshmaparvam,"Action, Crime, Drama            ",,,,,,
